,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
57,"Ik ga naar een restaurant. Genaamt: Bonte koe. Als toetje kan je een wafel nemen met chocolade saus, slagroom, arbeien en poedersuiler. Mmmmmn?????????????????????????? ",9: Diverse / long,4.0,2.0,"['saus', 'wafel', 'restaurant', 'chocolad', 'slagrom', 'toetj']","['ga', 'restaurant', 'genaamt', 'bont', 'koe', 'toetj', 'wafel', 'nem', 'chocolad', 'saus', 'slagrom', 'arbei', 'poedersuiler', 'mmmn']",0.0,10.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,17.0,9
154,Ik niet heb net kapsalon bij noortjes zaak gegeten,9: Diverse / long,4.0,1.0,['kapsalon'],"['net', 'kapsalon', 'noortjes', 'zak', 'geget']",1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.55,0.0,0.0,0.0,1.0,0.0,24.0,9
170,Luke als je een hond had was hij eerste dag al opgegeten dus hjb maar gwn,9: Diverse / long,,0.0,['opgeget'],"['luk', 'hond', 'eerst', 'dag', 'opgeget', 'hjb', 'gwn']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,9
172,"Als hij een hond hij had, lag die al op de barbecue",9: Diverse / long,3.0,0.0,['barbecue'],"['hond', 'lag', 'barbecue']",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,9
313,Fietsen tafel is net een wafel met chocolade saus,9: Diverse / long,4.0,0.0,"['saus', 'wafel', 'chocolad', 'tafel']","['fiets', 'tafel', 'net', 'wafel', 'chocolad', 'saus']",0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.55,0.0,0.0,1.0,0.0,0.0,19.0,9
314,Een fiets een tafel is met een wafel chocoladesaus,9: Diverse / long,4.0,0.0,"['wafel', 'chocoladesaus', 'tafel']","['fiet', 'tafel', 'wafel', 'chocoladesaus']",0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,9
394,Rara waar ben ik? Hind:tafelen,9: Diverse / long,,0.0,['tafel'],"['rara', 'war', 'hind', 'tafel']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,22.0,9
451,Ik hou deze telefoon gewoon op mijn tafel,9: Diverse / long,,0.0,['tafel'],"['hou', 'telefon', 'gewon', 'tafel']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,9
516,Burger King foot lettuce,9: Diverse / long,2.0,0.0,['burger'],"['burger', 'king', 'fot', 'lettuc']",0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,9
689,Ik moet de tafel dekken ben zo terug,9: Diverse / long,,0.0,['tafel'],"['tafel', 'dek', 'terug']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
690,Ik moet even de tafel dekken,9: Diverse / long,,0.0,['tafel'],"['even', 'tafel', 'dek']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
691,Ik moet eerst de tafel dekken,9: Diverse / long,,0.0,['tafel'],"['eerst', 'tafel', 'dek']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
727,Wij biefstuk,9: Diverse / long,3.0,0.0,['biefstuk'],"['wij', 'biefstuk']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,9
802,Tafelen bij de speelplaats van 678,9: Diverse / long,,0.0,['tafel'],"['tafel', 'speelplat', '678']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,9
1192,Hey sorry moest even tafel dekken,9: Diverse / long,,0.0,['tafel'],"['hey', 'sorry', 'moest', 'even', 'tafel', 'dek']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,9
1218,Nou omdat als een koe geen poten heeft dan is het een biefstuk omdat biefstuk van een koe gemaakt wordt dus ja,9: Diverse / long,3.0,0.0,"['biefstuk', 'biefstuk']","['nou', 'koe', 'pot', 'biefstuk', 'biefstuk', 'koe', 'gemaakt']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.6,0.0,0.0,1.0,0.0,0.0,18.0,9
