,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
5,Broodtrommel,7: Dutch meals,,0.0,['broodtrommel'],['broodtrommel'],0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7
76,En aldi en emte,7: Dutch meals,,0.0,['aldi'],"['aldi', 'emt']",0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7
94,"Hihi, die vis??????",7: Dutch meals,1.0,0.0,['vis'],"['hihi', 'vis']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,7
140,Heb je emojies want ik spaar ze,7: Dutch meals,,0.0,['spar'],"['emojies', 'spar']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,7
141,Spaar jij emojjies,7: Dutch meals,,0.0,['spar'],"['spar', 'jij', 'emojjies']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,7
219,Ik haat kaas,7: Dutch meals,4.0,0.0,['kas'],"['hat', 'kas']",1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,7
224,Welk materiaal is magnesium,7: Dutch meals,,0.0,['magnesium'],"['welk', 'materiaal', 'magnesium']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,7
253,Ik heb rode kool met vis en zuuren doop ??gegeten,7: Dutch meals,1.0,0.0,['vis'],"['rod', 'kol', 'vis', 'zur', 'dop', 'geget']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05,0.0,0.0,1.0,0.0,0.0,15.0,7
281,Zegt de man je vandaag was de vis aandebeurd,7: Dutch meals,1.0,0.0,['vis'],"['zegt', 'man', 'vandag', 'vis', 'aandebeurd']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7
433,Ik bsta op ijs,7: Dutch meals,4.0,0.0,['ijs'],"['bsta', 'ijs']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,7
434,Ik ben in het ijs gezakt,7: Dutch meals,4.0,1.0,['ijs'],"['ijs', 'gezakt']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,7
435,En jongens ik ben een nette ja in het ijs gezakt,7: Dutch meals,4.0,1.0,['ijs'],"['jongen', 'net', 'ijs', 'gezakt']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,19.0,7
436,Omdat ik hat gevochten op het ijs,7: Dutch meals,4.0,0.0,['ijs'],"['hat', 'gevocht', 'ijs']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,7
439,En ik ben in het ijs gevallen en ja ik kwam eruit en ik zeg een hoek recht in zijn gezigt,7: Dutch meals,4.0,0.0,['ijs'],"['ijs', 'gevall', 'kwam', 'eruit', 'zeg', 'hoek', 'recht', 'gezigt']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,19.0,7
443,Waar sta je op ijs,7: Dutch meals,4.0,0.0,['ijs'],"['war', 'sta', 'ijs']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,14.0,7
445,Yo jongens ik sta op ijs,7: Dutch meals,4.0,0.0,['ijs'],"['yo', 'jongen', 'sta', 'ijs']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7
460,"Ik was ook in het bos maart ik zag jou niet,ik heb over ijs gelopen",7: Dutch meals,4.0,0.0,['ijs'],"['bos', 'maart', 'zag', 'jou', 'ijs', 'gelop']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7
461,Wil je vandaag weer spelen en dan gaan we weer op het ijs,7: Dutch meals,4.0,0.0,['ijs'],"['vandag', 'wer', 'spel', 'gan', 'we', 'wer', 'ijs']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7
472,silva wil mee spelen kan dat ik wil het wel mag het ook van jou!! Dan kunnen we weer naar het bos oo het ijs gaan staan en met diesel wandelen??,7: Dutch meals,4.0,0.0,['ijs'],"['silva', 'mee', 'spel', 'wel', 'mag', 'jou', 'we', 'wer', 'bos', 'oo', 'ijs', 'gan', 'stan', 'diesel', 'wandel']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,17.0,7
476,Zullen we als sylke kan dan ook weer naar het ijs,7: Dutch meals,4.0,0.0,['ijs'],"['zull', 'we', 'sylk', 'wer', 'ijs']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,18.0,7
661,Vdodisee kan dus blijkbaar niet voetballen want ze flikkerde al bijna alweer een lieve oma Oma een tekst van net alsof er dood gegaan want ja mag ik dat alsjeblieft alsjeblieft laat me dat het gerecht kip kip Ja ik weet het is echt Ik heb ik,7: Dutch meals,2.0,0.0,"['kip', 'kip']","['vdodisee', 'blijkbar', 'voetball', 'flikkerd', 'bijna', 'alwer', 'liev', 'oma', 'oma', 'tekst', 'net', 'alsof', 'dod', 'gegan', 'mag', 'alsjeblieft', 'alsjeblieft', 'lat', 'gerecht', 'kip', 'kip', 'wet', 'echt']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14722222222222223,0.0,0.0,1.0,0.0,0.0,16.0,7
676,Ik ben hier bij het ijs dichtbij rot,7: Dutch meals,4.0,0.0,['ijs'],"['ijs', 'dichtbij', 'rot']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.65,0.0,0.0,1.0,0.0,0.0,16.0,7
681,Jij kon toch niet vanwege het ijs??,7: Dutch meals,4.0,0.0,['ijs'],"['jij', 'vanweg', 'ijs']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7
685,Keuk die platjes,7: Dutch meals,,0.0,['keuk'],"['keuk', 'platjes']",1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,7
711,Health Xiao ossenhaas hotel kaarsen heb hielen Hatiaan Classic,7: Dutch meals,2.0,0.0,['ossenhas'],"['health', 'xiao', 'ossenhas', 'hotel', 'kaars', 'hiel', 'hatiaan', 'classic']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,7
738,Wie kan er naar het ijs achter mijn huis komen op het mais velt,7: Dutch meals,4.0,1.0,['ijs'],"['ijs', 'achter', 'huis', 'kom', 'mais', 'velt']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,15.0,7
739,Waar zijn julli bij het ijs,7: Dutch meals,4.0,0.0,['ijs'],"['war', 'julli', 'ijs']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,15.0,7
791,Ik was net met rufus en khadar aan het spelen en we liepen over het ijs en we kwamen bij het huis waar jou opa en oma wonen,7: Dutch meals,4.0,0.0,['ijs'],"['net', 'rufus', 'khadar', 'spel', 'we', 'liep', 'ijs', 'we', 'kwam', 'huis', 'war', 'jou', 'opa', 'oma', 'won']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0,0.0,1.0,0.0,0.0,18.0,7
792,Ik was net met khadar en semmy en toen was ik tot mijn knie in het ijs gezakt,7: Dutch meals,4.0,0.0,['ijs'],"['net', 'khadar', 'semmy', 'knie', 'ijs', 'gezakt']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,18.0,7
793,Jordi jij zou het ook niet leuk vinden als jij door het ijs gezakt zou zijn dat water is ijskoud dat doet gewoon pijn,7: Dutch meals,4.0,0.0,['ijs'],"['jordi', 'jij', 'leuk', 'vind', 'jij', 'ijs', 'gezakt', 'water', 'ijskoud', 'doet', 'gewon', 'pijn']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333333,0.0,0.0,1.0,0.0,0.0,18.0,7
794,Gister door het ijs gezakt vandaag twee keee in een struik geduwd allemaal wondjes op mijn zij lekker weeken is dit zeg,7: Dutch meals,4.0,0.0,['ijs'],"['gister', 'ijs', 'gezakt', 'vandag', 'twee', 'kee', 'struik', 'geduwd', 'allemal', 'wondjes', 'lekker', 'wek', 'zeg']",0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,18.0,7
825,Ja sorry eigelijk niet met. Jou ja ik wil naar het ijs tou als je het kan het wel,7: Dutch meals,4.0,0.0,['ijs'],"['sorry', 'eigelijk', 'jou', 'ijs', 'tou', 'wel']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,17.0,7
