,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
6,Dit heb ik nu als toetje maar hij ziet er wel iets anders uit en de binnenkant is zo lekker echt Ik zal er zijn maar vertellen over Ja jullie lezen maar ik sta nee ik schrijf het maar ok maar als je hem dus ook en sluit daar ging het licht uit komen ok dan valt er allemaal chocolademousse uit en Smarties als je het ook allemaal in een dat zo lekker en ik ga nu dus lekker smikkelen,"8: Food, ijs, diverse",4.0,4.0,"['smarties', 'toetj', 'smikkel']","['toetj', 'ziet', 'wel', 'ander', 'binnenkant', 'lekker', 'echt', 'vertell', 'jullie', 'lez', 'sta', 'nee', 'schrijf', 'ok', 'sluit', 'ging', 'licht', 'kom', 'ok', 'valt', 'allemal', 'chocolademous', 'smarties', 'allemal', 'lekker', 'ga', 'lekker', 'smikkel']",2.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.325,0.0,1.0,0.0,0.0,1.0,14.0,8
7,Dus als je een open snijdt dan komt er allemaal chocolademousse uit Smarties en karamelsaus het ruikt eruit echt zo lekker met wat weet ik niet Ik weet niet of het lekker is maar ja iedereen weet dat het lekker wordt ik ben raar Like This Is dit bericht als je dat,"8: Food, ijs, diverse",4.0,2.0,"['karamelsaus', 'smarties']","['open', 'snijdt', 'komt', 'allemal', 'chocolademous', 'smarties', 'karamelsaus', 'ruikt', 'eruit', 'echt', 'lekker', 'wet', 'wet', 'lekker', 'iederen', 'wet', 'lekker', 'rar', 'lik', 'this', 'bericht']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.392,0.0,1.0,1.0,0.0,0.0,14.0,8
8,Nou ik heb dus de taart en die lijkt me echt heel lekker Ik ga nu een hapje nemen Ik ga dus nu proeven moet even door praten want anders dan ik ga nu een hapje nemen Oh mijn god die is lekker proeven Zeg even als je dat wilt dat ik wil je echt waar geloof me lekker lekker lekker uitroepteken uitroepteken uitroepteken en misschien wel wat rare teksten van dolfijnen die niet kloppen zeg maar mij Dat komt omdat het staat er bij het kan inspreken en dan typt het zelf voor je En dat is leuk lekkere taart echt zo lekker maar Doei buy,"8: Food, ijs, diverse",4.0,1.0,"['taart', 'taart', 'hapj', 'hapj']","['nou', 'taart', 'lijkt', 'echt', 'hel', 'lekker', 'ga', 'hapj', 'nem', 'ga', 'proev', 'even', 'prat', 'ander', 'ga', 'hapj', 'nem', 'oh', 'god', 'lekker', 'proev', 'zeg', 'even', 'wilt', 'echt', 'war', 'gelof', 'lekker', 'lekker', 'lekker', 'uitroeptek', 'uitroeptek', 'uitroeptek', 'misschien', 'wel', 'rar', 'tekst', 'dolfijn', 'klopp', 'zeg', 'komt', 'stat', 'insprek', 'typt', 'leuk', 'lekker', 'taart', 'echt', 'lekker', 'doei', 'buy']",0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.455,0.0,0.0,1.0,0.0,0.0,14.0,8
20,Het was leuk vandaag lekker een milkshake en met vrienden klooien ??,"8: Food, ijs, diverse",3.0,2.0,['milkshak'],"['leuk', 'vandag', 'lekker', 'milkshak', 'vriend', 'klooi']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,17.0,8
156,Hoi hoe gaat het met jullie Ik hou heel erg veel van jullie maar ik ben nu een koekje aan het eten En dit heb ik allemaal ingesproken want dat vind ik super cool Kennen jullie een van de mooiste dingen van de hele wereld Ik weet echt niet wat ik allemaal zeg maar ja dat denk beter beter mij,"8: Food, ijs, diverse",4.0,0.0,"['eten', 'koekj']","['hoi', 'gat', 'jullie', 'hou', 'hel', 'erg', 'jullie', 'koekj', 'eten', 'allemal', 'ingesprok', 'vind', 'super', 'col', 'kenn', 'jullie', 'mooist', 'ding', 'hel', 'wereld', 'wet', 'echt', 'allemal', 'zeg', 'denk', 'beter', 'beter']",0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.19333333333333336,0.0,0.0,1.0,0.0,0.0,15.0,8
241,Niet waar ik hou van groente maar bepaalde soorten niet ,"8: Food, ijs, diverse",1.0,0.0,['groent'],"['war', 'hou', 'groent', 'bepaald', 'soort']",0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.0,0.0,0.0,19.0,8
374,Sorry per ongeluk (jacob,"8: Food, ijs, diverse",,2.0,['jacob'],"['sorry', 'per', 'ongeluk', 'jacob']",0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8
526,Boek van Dongen en vind het een heel gezond boek en vind ik heel leuk want ik hou ook wel van dat boek alleen doen maar ze echt heel erg fan van alleen heel veel vroeger dan alleen nu is er echt nog meer zijn van geworden,"8: Food, ijs, diverse",,0.0,['gezond'],"['boek', 'dong', 'vind', 'hel', 'gezond', 'boek', 'vind', 'hel', 'leuk', 'hou', 'wel', 'boek', 'allen', 'echt', 'hel', 'erg', 'fan', 'allen', 'hel', 'vroeger', 'allen', 'echt', 'geword']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2555555555555555,0.0,0.0,1.0,0.0,0.0,14.0,8
562,Ja echt leuk Wat wil jij het grappig wat aan het filmpje ik vind het grappig dat die banaan en de arbeid en daarna en daarna bijna tv De Gouw prullenbak de 100 grappigste stukje En dat jij ook nog WhatsApp en dat vond ik het zo grappig doei doei,"8: Food, ijs, diverse",2.0,0.0,['banan'],"['echt', 'leuk', 'jij', 'grappig', 'filmpj', 'vind', 'grappig', 'banan', 'arbeid', 'daarna', 'daarna', 'bijna', 'tv', 'gouw', 'prullenbak', '100', 'grappigst', 'stukj', 'jij', 'whatsapp', 'vond', 'grappig', 'doei', 'doei']",0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6900000000000001,0.0,0.0,1.0,0.0,0.0,24.0,8
570,Er is weer een nieuw filmpje hebben jullie er weer gezien school het is fijn om bij jullie te zijn want jullie zijn grappig jullie Doe je dans boos maar ik vind het wel fijn om bij jullie te zijn Doei doei Ik wil jullie nog n ding zeggen Hij gaat over banaan doei,"8: Food, ijs, diverse",2.0,2.0,['banan'],"['wer', 'nieuw', 'filmpj', 'jullie', 'wer', 'gezien', 'schol', 'fijn', 'jullie', 'jullie', 'grappig', 'jullie', 'doe', 'dan', 'bos', 'vind', 'wel', 'fijn', 'jullie', 'doei', 'doei', 'jullie', 'ding', 'zegg', 'gat', 'banan', 'doei']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16999999999999998,0.0,0.0,1.0,0.0,0.0,15.0,8
