,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
0,Ham kaas op een tosti,2: Wat eet ik: Foods,3.0,2.0,"['ham', 'tosti', 'kas']","['ham', 'kas', 'tosti']",0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2
1,Ham en kaas op een tosti like,2: Wat eet ik: Foods,3.0,1.0,"['ham', 'tosti', 'kas']","['ham', 'kas', 'tosti', 'lik']",0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2
11,Wie zn brood lekker? :-P ,2: Wat eet ik: Foods,1.0,2.0,['brod'],"['zn', 'brod', 'lekker']",1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.675,0.0,0.0,0.0,1.0,0.0,26.0,2
17,Dit is groente patat het is fies,2: Wat eet ik: Foods,2.0,3.0,"['patat', 'groent']","['groent', 'patat', 'fies']",2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2
18,Is het eten lekker allemaal,2: Wat eet ik: Foods,,0.0,['eten'],"['eten', 'lekker', 'allemal']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,22.0,2
23,Lekker in de lidl,2: Wat eet ik: Foods,,0.0,['lidl'],"['lekker', 'lidl']",0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,18.0,2
25,Ik heb nu zin in een tosti,2: Wat eet ik: Foods,4.0,1.0,['tosti'],"['zin', 'tosti']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2
26,Wat eten jullie ik patat nou vooral broodje gezond,2: Wat eet ik: Foods,3.0,1.0,"['patat', 'eten', 'gezond', 'broodj']","['eten', 'jullie', 'patat', 'nou', 'vooral', 'broodj', 'gezond']",0.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,1.0,0.0,0.0,17.0,2
28,Jam,2: Wat eet ik: Foods,4.0,0.0,['jam'],['jam'],2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2
29,Zinin taart,2: Wat eet ik: Foods,4.0,1.0,['taart'],"['zinin', 'taart']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,2
